title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
BLADESTORM: Nightmare,http://fitgirl-repacks.site/bladestorm-nightmare/,2016-07-16,5,,,ENG/JAPOriginal Size: 9 3 GBRepack Size: 4 2~4 9 GB [Selective Download],9523,4300,0.45,
BlazBlue: Central Fiction – v1.01,http://fitgirl-repacks.site/blazblue-central-fiction-v1-01/,2017-04-28,50,Arcade  Fighting  Side  2D,,ENG/MULTI5,29491,14643,0.5,
BlazBlue: Chronophantasma Extend,http://fitgirl-repacks.site/blazblue-chronophantasma-extend/,2016-07-24,5,,,ENG/MULTI5Original Size: 9.4 GBRepack Size: from 5.2 GB [Selective Download],9625,5324,0.55,
BlazBlue: Continuum Shift Extend,http://fitgirl-repacks.site/blazblue-continuum-shift-extend/,2016-07-07,14,,,ENG/MULTI4Original Size: 8 7 GBRepack Size: 5 8 GB,8908,5939,0.67,
Blood Bowl 2: Legendary Edition – v3.0.120.2 + 9 DLCs,http://fitgirl-repacks.site/blood-bowl-2-legendary-edition/,2017-09-07,,Managerial  Sports  Strategy  3D  Pausable real-time  Turn-based,Focus Home Interactive,RUS/ENG/MULTI6,4710,2662,0.57,
Blood Knights,http://fitgirl-repacks.site/blood-knights/,2016-07-15,1,,,RUS/ENG/MULTI6Original Size: 1 9 GBRepack Size: 758 MB,1945,758,0.39,
Bloodbath Kavkaz,http://fitgirl-repacks.site/bloodbath-kavkaz/,2016-07-15,1,,,RUS/ENG/MULTI9Original Size: 600 MBRepack Size: 410 MB,600,410,0.68,
Bloodsports.TV,http://fitgirl-repacks.site/bloodsports-tv/,2016-07-14,1,,,,1331,366,0.27,
Bloody Zombies,http://fitgirl-repacks.site/bloody-zombies/,2017-09-15,1,Arcade  Beat ’em up (Brawler)  Side  2D,Paw Print Games,RUS/ENG/MULTI6,2764,1331,0.48,
Blue Estate: The Game,http://fitgirl-repacks.site/blue-estate-the-game/,2016-07-14,11,,,ENG/MULTI4Original Size: 2 6 GBRepack Size: 1 9 GB,2662,1945,0.73,
Blue Reflection – v1.01/Update 1 + DLCs,http://fitgirl-repacks.site/blue-reflection-v1-01update-1-dlcs/,2017-10-07,,RPG  Third-person  3D  Japanese,Gust / Koei Tecmo America,ENG/MULTI3,19968,4403,0.22,
Blues & Bullets: Episode 1,http://fitgirl-repacks.site/blues-bullets-episode-1/,2016-07-18,1,,,ENG/MULTI5Original Size: 2.84 GBRepack Size: 1.63 GB,2908,1669,0.57,
Bombshell,http://fitgirl-repacks.site/bombshell/,2016-07-22,3,,,,8396,6451,0.77,
Bonetown: The Power of Death,http://fitgirl-repacks.site/bonetown-the-power-of-death/,2016-07-10,1,,,,2457,1536,0.63,
Breach & Clear: Deadline,http://fitgirl-repacks.site/breach-clear-deadline/,2016-07-18,,,,RUS/ENG/MULTI5Original Size: 1.8 GBRepack Size: 1.1 GB,1843,1126,0.61,
