title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Divinity: Original Sin – Enhanced Edition,http://fitgirl-repacks.site/divinity-original-sin-enhanced-edition/,2016-07-21,7,,,RUS/ENG/MULTI6Original Size: 9.3 GBRepack Size: 8.4 GB,9523,8601,0.9,
Divinity: Original Sin 2 – v3.0.141.716 Steam/GOG,http://fitgirl-repacks.site/divinity-original-sin-2-v3-0-141-716-steamgog/,2017-09-16,2,RPG  Open world  Isometric  3D,,RUS/ENG/MULTI4,24064,18636,0.77,
Do Not Fall,http://fitgirl-repacks.site/do-not-fall/,2016-07-07,,,,ENG/MULTI3Original Size: 1 25 GBRepack Size: 360 MB,1280,360,0.28,
Don’t Knock Twice,http://fitgirl-repacks.site/dont-knock-twice/,2017-09-06,,Adventure  First-person  3D  Horror,,RUS/ENG/MULTI9,947,667,0.7,
Don’t Starve Alone Pack v171894 + 2 DLC,http://fitgirl-repacks.site/dont-starve-alone-pack-v171894-2-dlc/,2016-07-25,11,,,RUS/ENGOriginal Size: 788 MBRepack Size: 391 MB,788,391,0.5,
DOOM – IDKFA Repack (3 DLCs + Working Multiplayer & SnapMap),http://fitgirl-repacks.site/doom-idkfa-repack-3-dlcs-working-multiplayer-snapmap/,2017-01-16,521,Action  Shooter  First-person  3D,id Software  Certain Affinity  Bethesda Softworks,RUS/ENG/MULTI10,88473,31334,0.35,
Double Dragon Trilogy,http://fitgirl-repacks.site/double-dragon-trilogy/,2016-07-08,3,,,RUS/ENG/MULTI10Original Size: 226 MBRepack Size: 90 MB,226,90,0.4,
Dovetail Games Flight School,http://fitgirl-repacks.site/dovetail-games-flight-school/,2016-07-27,6,,,ENG/MULTI3Original Size: 11.7 GBRepack Size: 8.3 GB,11980,8499,0.71,
Downward,http://fitgirl-repacks.site/downward/,2017-07-15,31,Arcade  Platform adventure  First-person  3D,Caracal Games / IndieGala,ENG/ITA,7270,4198,0.58,
Dragon Age: Inquisition – Digital Deluxe Edition – v1.11 + All DLCs,http://fitgirl-repacks.site/dragon-age-inquisition/,2017-12-06,1,RPG  Open world  Third-person  3D,BioWare / Electronic Arts,RUS/ENG/MULTI9,46592,19558,0.42,
Dragon Age: Origins – Ultimate Edition – GOG Version,http://fitgirl-repacks.site/dragon-age-origins-ultimate-edition-gog-version/,2016-07-29,53,,,RUS/ENG/MULTI9,22630,8908,0.39,
Dragon Ball: Xenoverse – Bundle Edition – v1.07 + 4 DLCs,http://fitgirl-repacks.site/dragon-ball-xenoverse-bundle-edition-v1-07-4-dlcs/,2016-07-18,89,,,RUS/ENG/MULTI9Original Size: 9.5 GBRepack Size: 7.1 GB,9728,7270,0.75,
Dragon Ball: Xenoverse 2 – v1.07.00 + 10 DLCs,http://fitgirl-repacks.site/dragon-ball-xenoverse-2/,2017-07-01,207,Arcade  Beat ’em up (Brawler)  Third-person  3D,Dimps Corporation / Bandai Namco Entertainment,RUS/ENG/MULTi11,13516,6348,0.47,
Dragon Quest Heroes 2: Explorer’s Edition + All DLCs,http://fitgirl-repacks.site/dragon-quest-heroes-2-explorers-edition/,2017-06-25,116,Action  Slasher  Third-person  3D,Omega Force / Square Enix,ENG/MULTI,24371,8192,0.34,
Dragon Quest Heroes: Slime Edition,http://fitgirl-repacks.site/dragon-quest-heroes-slime-edition/,2016-07-21,15,,,ENG/MULTI7Original Size: 19.6 GBRepack Size: 6.4~16.8 GB [Selective Download],20070,6553,0.33,
Dragon’s Dogma: Dark Arisen,http://fitgirl-repacks.site/dragons-dogma-dark-arisen/,2016-07-22,35,,,ENG/MULTI6Original Size: 11.6 GBRepack Size: 5.6 GB,11878,5734,0.48,
DreadOut: Acts 0  1  2,http://fitgirl-repacks.site/dreadout-acts-0-1-2/,2016-07-09,2,,,ENG/INDOriginal Size: 6 5 GBRepack Size: 1 4 GB,6656,1433,0.22,
DreadOut: Keepers of The Dark,http://fitgirl-repacks.site/dreadout-keepers-of-the-dark/,2016-07-24,1,,,,3072,1536,0.5,
Dreamfall Chapters: The Final Cut  v5.7.2.1,http://fitgirl-repacks.site/dreamfall-chapters-the-final-cut/,2017-07-23,134,Adventure  Third-person  3D,,ENG/MULTI3,25190,5939,0.24,
Drizzlepath,http://fitgirl-repacks.site/drizzlepath/,2016-07-14,1,,,,1843,1331,0.72,
Ducati: 90th Anniversary,http://fitgirl-repacks.site/ducati-90th-anniversary/,2016-07-28,,,,ENG/MULTI7Original Size: 9.5 GBRepack Size: 5.7 GB,9728,5836,0.6,
Duke Grabowski  Mighty Swashbuckler,http://fitgirl-repacks.site/duke-grabowski-mighty-swashbuckler/,2016-10-11,12,Adventure  Point-and-click  Fixed camera angles  3D models on 2D backgrounds,Venture Moon Industries / Alliance Digital Media,ENG/GER,3686,1331,0.36,
Duke Nukem 3D: 20th Anniversary World Tour,http://fitgirl-repacks.site/duke-nukem-3d-20th-anniversary-world-tour/,2016-10-12,143,Action  Shooter  First-person  3D,3D Realms  Gearbox Software  Nerve Software,RUS/ENG/MULTI8,1126,950,0.84,
Duke Nukem Forever  v1.0 (Build 244) + 3 DLCs,http://fitgirl-repacks.site/duke-nukem-forever/,2017-07-08,56,Action  Shooter  First-person  3D,3D Realms  Gearbox Software  2K Games,RUS/ENG/MULTI6,5120,2867,0.56,
Dungeon of the Endless,http://fitgirl-repacks.site/dungeon-of-the-endless/,2016-07-07,,,,ENG/MULTI3Original Size: 507 MBRepack Size: 278 MB,507,278,0.55,
Dungeons 2,http://fitgirl-repacks.site/dungeons-2/,2016-07-15,1,,,RUS/ENG/MULTI7Original Size: 2 3 GBRepack Size: 1 1 GB (Selective Download),2355,1126,0.48,
Dungeons 3 – v1.2.1 + 4 DLCs,http://fitgirl-repacks.site/dungeons-3/,2017-10-15,,Strategy  God sim  Isometric  3D  Real-time,Realmforge Studios / Kalypso Media,RUS/ENG/MULTI7,3993,1843,0.46,
Dustforce DX,http://fitgirl-repacks.site/dustforce-dx/,2016-07-06,,,,,270,242,0.9,
Dying Light v1.6.0 + All DLCs,http://fitgirl-repacks.site/dying-light-v1-6-0-all-dlcs/,2016-07-16,55,,,RUS/ENG/MULTI9Original Size: 19 3 GBRepack Size: 8 8~9 5 GB SELECTIVE DOWNLOAD,19763,9011,0.46,
Dying Light: The Following – Enhanced Edition – v1.12.2 + All DLCs + DevTools,http://fitgirl-repacks.site/dying-light-the-following-enhanced-edition/,2017-07-12,1,Action  First-person  Open world  Survival  3D  Horror  Zombies,Techland / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI9,34201,10854,0.32,
Dynasty Warriors 8: Empires,http://fitgirl-repacks.site/dynasty-warriors-8-empires/,2016-07-10,14,,,,9113,5836,0.64,
Eador: Imperium,http://fitgirl-repacks.site/eador-imperium/,2017-01-29,96,Strategy  4X  Top-down  3D  Turn-based,,RUS/ENG/GER,2355,580,0.25,
Earth Defense Force 4.1: The Shadow of New Despair,http://fitgirl-repacks.site/earth-defense-force-4-1-the-shadow-of-new-despair/,2016-07-29,7,,,ENG/JAPOriginal Size: 6.6 GBRepack Size: from 3 GB,6758,3072,0.45,
Earthlock: Festival of Magic,http://fitgirl-repacks.site/earthlock-festival-magic/,2016-09-27,37,RPG  Isometric  Top-down  3D  Turn-based,,ENG,2457,1331,0.54,
ECHO + HotFix/Update 2,http://fitgirl-repacks.site/echo/,2017-09-23,3,Action  Shooter  Stealth  Third-person  3D,,ENG/MULTI3,7168,2662,0.37,
Eisenhorn: XENOS,http://fitgirl-repacks.site/eisenhorn-xenos/,2016-08-12,7,,,,7577,5529,0.73,
Eisenwald: Blood of November,http://fitgirl-repacks.site/eisenwald-blood-november/,2016-11-02,65,RPG  Open world  Isometric  3D,,RUS/ENG/MULTI4,1331,819,0.62,
Elder Scrolls 5: Skyrim – Legendary Edition,http://fitgirl-repacks.site/elder-scrolls-5-skyrim-legendary-edition/,2016-07-23,93,,,RUS/ENG/MULTI8Original Size: 23.9 GBRepack Size: from 4.2 GB [Selective Download],24473,4300,0.18,
ELEX,http://fitgirl-repacks.site/elex/,2017-10-19,,RPG  Open world  Third-person  3D,Piranha Bytes / THQ Nordic,RUS/ENG/MULTI8,29081,13209,0.45,
Ember,http://fitgirl-repacks.site/ember/,2016-09-11,29,RPG  Isometric  3D  Party-based  Real-time,N-Fusion Interactive / 505 Games,,4608,2764,0.6,
Emergency 20,http://fitgirl-repacks.site/emergency-20/,2017-11-06,,Managerial  Strategy  Isometric  3D,,ENG/MULTI5,11366,3686,0.32,
Emergency 2016,http://fitgirl-repacks.site/emergency-2016/,2016-07-20,1,,,,6656,3481,0.52,
Emergency 2017,http://fitgirl-repacks.site/emergency-2017/,2016-10-31,31,Managerial  Strategy  Isometric  3D  Real-time,Sixteen Tons Entertainment / Ravenscourt,ENG/MULTI5,7884,3788,0.48,
Emergency 5: Deluxe Edition,http://fitgirl-repacks.site/emergency-5-deluxe-edition/,2016-07-06,3,,,,18124,5120,0.28,
Empathy: Path of Whispers,http://fitgirl-repacks.site/empathy-path-whispers/,2017-05-18,35,Adventure  Puzzle solving  First-person  3D  Post-apocalypse,Pixel Night / Iceberg Interactive,RUS/ENG/MULTI6,3686,2048,0.56,
EMPYRE: Lords of the Sea Gates,http://fitgirl-repacks.site/empyre-lords-of-the-sea-gates/,2017-10-05,,RPG  Isometric  3D  Pausable real-time,,,4812,2355,0.49,
Endless Legend: Forgotten Love – v1.5.14 S3 + All previous DLCs,http://fitgirl-repacks.site/endless-legend-forgotten-love-v1-5-14-s3-previous-dlcs/,2017-03-07,75,Strategy  4X  Isometric  3D  Turn-based,,RUS/ENG/MULTI7,7987,2048,0.26,
Endless Space 2,http://fitgirl-repacks.site/endless-space-2/,2017-05-19,50,Strategy  4X  3D  Turn-based,Amplitude Studios / Sega,RUS/ENG/MULTI10,7884,6041,0.77,
Etherium,http://fitgirl-repacks.site/etherium/,2016-07-14,1,,,RUS/ENGOriginal Size: 1 7 GBRepack Size: 1 4 GB,1740,1433,0.82,
Euro Truck Simulator 2 – v1.30.1.6s + 55 DLCs,http://fitgirl-repacks.site/euro-truck-simulator-2/,2017-12-07,253,Driving  Simulation  Open world  3D,SCS Software / Excalibur Publishing,RUS/ENG/MULTI43,4096,2048,0.5,
Europa Universalis IV: Common Sense + All previous DLCs,http://fitgirl-repacks.site/europa-universalis-iv-common-sense-all-previous-dlcs/,2016-07-16,4,,,ENG/MULTI4Original Size: 1.4 GBRepack Size: 746/923 MB [Selective Download],1433,746,0.52,
Europa Universalis IV: El Dorado + All previous DLCs,http://fitgirl-repacks.site/europa-universalis-iv-el-dorado-all-previous-dlcs/,2016-07-10,,,,ENG/MULTI4Original Size: 1 GBRepack Size: 644 MB,1024,644,0.63,
European Ship Simulator,http://fitgirl-repacks.site/european-ship-simulator/,2016-07-10,4,,,ENG/MULTI8Original Size: 2 2 GBRepack Size: 570 MB,2252,570,0.25,
Event[0],http://fitgirl-repacks.site/event0/,2016-09-15,38,Adventure  Exploration  First-person  3D  Science fiction,,,2867,1536,0.54,
EVERSPACE,http://fitgirl-repacks.site/everspace/,2017-05-27,92,Action  Shooter  Open world  Permanent death  3D,,RUS/ENG/MULTI9,5427,2867,0.53,
Everybody’s Gone to the Rapture,http://fitgirl-repacks.site/everybodys-gone-to-the-rapture/,2016-07-25,1,,,RUS/ENG/MULTI17Original Size: 6.3 GBRepack Size: from 3.6 GB [Selective Download],6451,3686,0.57,
Evolve,http://fitgirl-repacks.site/evolve/,2016-07-09,25,,,RUS/ENG/MULTI10Original Size: 26 5 GBRepack Size: SELECTIVE DOWNLOAD 7 5~20 GB,27136,7680,0.28,
Exodus Wars: Fractured Empire,http://fitgirl-repacks.site/exodus-wars-fractured-empire/,2016-07-08,,,,,873,523,0.6,
Expeditions: Viking – v1.0.1,http://fitgirl-repacks.site/expeditions-viking-v1-0-1/,2017-04-29,111,RPG  Strategy  Tactics  3D  Turn-based,,RUS/ENG/MULTI5,11059,3891,0.35,
F1 2015 + Update 2,http://fitgirl-repacks.site/f1-2015-update-2/,2016-07-18,20,,,RUS/ENG/MULTI9Original Size: 15 GBRepack Size: 7.15 GB [Selective Download],15360,7321,0.48,
F1 2016 – v1.8.0 + DLC + Multiplayer,http://fitgirl-repacks.site/f1-2016/,2017-06-27,93,Racing  Simulation  3D  Open-wheel cars,Codemasters / Deep Silver,RUS/ENG/MULTI10,22425,10137,0.45,
F1 2017 – v1.6 + DLC + Multiplayer,http://fitgirl-repacks.site/f1-2017/,2017-09-14,2,Racing  Simulation  3D  Open-wheel cars,,RUS/ENG/MULTI10,35020,13107,0.37,
Fahrenheit: Indigo Prophecy Remastered,http://fitgirl-repacks.site/fahrenheit-indigo-prophecy-remastered/,2016-07-08,13,,,RUS/ENG/MULTI5Original Size: 9 5 GBRepack Size: 2 7 GB,9728,2764,0.28,
Fairy Fencer F: Advent Dark Force – Build.20170218 + All DLCs,http://fitgirl-repacks.site/fairy-fencer-f-advent-dark-force-build-20170218-dlcs/,2017-02-22,90,RPG  Third-person  3D  Japanese,Compile Heart / Idea Factory International,ENG/MULTI3,9318,3174,0.34,
Fallout 4 – v1.10.50.0 Hotfix + 7 DLCs,http://fitgirl-repacks.site/fallout-4/,2017-12-15,,Action  Shooter  RPG  3D,Bethesda Softworks,RUS/ENG/MULTI8,49664,21504,0.43,
Fallout 4: High Resolution Texture Pack – for v1.9.4.0.1,http://fitgirl-repacks.site/fallout-4-high-resolution-texture-pack-v1-9-4-0-1/,2017-02-16,109,Action  Shooter  RPG  3D,Bethesda Game Studios / Bethesda Softworks,doesn’t matter,58982,32358,0.55,
Fallout: New Vegas – Ultimate Edition – v1.4.0.525 GOG,http://fitgirl-repacks.site/fallout-new-vegas-ultimate-edition/,2017-06-29,155,RPG  First-person  Third-person  3D  Post-apocalypse,Obsidian Entertainment,RUS/ENG/MULTI8,64204,5222,0.08,
Far Cry 4: Gold Edition – v1.10 + All DLCs,http://fitgirl-repacks.site/far-cry-4-gold-edition/,2017-08-18,178,Action  Shooter  Open world  3D,Ubisoft Montreal  Ubisoft Kiev  Ubisoft Entertainment,RUS/ENG/MULTi16,40755,11059,0.27,
Far Cry: Primal – Apex Edition – v1.3.3 + All DLCs + Ultra HD Textures,http://fitgirl-repacks.site/far-cry-primal-apex-edition-v1-3-3-dlcs-ultra-hd-textures/,2017-01-09,725,Action  Shooter  Open world  Hunting  First-person  3D,Ubisoft Montreal  Ubisoft Entertainment,RUS/ENG/MULTI19,20070,9728,0.48,
Farm Expert 2017 – v1.106 PROPER,http://fitgirl-repacks.site/farm-expert-2017-v1-106-proper/,2016-09-03,49,Driving  Simulation  Third-person  3D,Silden / PlayWay,ENG/MULTI8,5939,3481,0.59,
Farming Simulator 17  – v1.2.1 + 5 DLCs + 2 Mods,http://fitgirl-repacks.site/farming-simulator-17-v1-2-1-5-dlcs-2-mods/,2016-10-28,123,Simulation  3D  Agricultural machinery,GIANTS Software / Focus Home Interactive,RUS/ENG/MULTI18,4300,3276,0.76,
Fat Chicken,http://fitgirl-repacks.site/fat-chicken/,2016-07-07,1,,,,390,243,0.62,
Fate/EXTELLA: The Umbral Star,http://fitgirl-repacks.site/fateextella-the-umbral-star/,2017-07-29,57,Action  Slasher  Third-person  3D  Japanese,Marvelous AQL  Marvelous USA,ENG/MULTI4,4710,2867,0.61,
Fernbus Simulator + 2 DLCs,http://fitgirl-repacks.site/fernbus-simulator-2-dlcs/,2017-10-22,1,Driving  Simulation  3D  Buses,TML-Studios / Aerosoft,RUS/ENG/MULTI12,4710,2764,0.59,
FIFA 15: Ultimate Team Edition,http://fitgirl-repacks.site/fifa-15-ultimate-team-edition/,2016-07-20,125,,,RUS/ENG/MULTI15Original Size: 13 GBRepack Size: 5.7~10 GB [Selective Download],13312,5836,0.44,
FIFA 16: Super Deluxe Edition – NOT CRACKED,http://fitgirl-repacks.site/fifa-16-super-deluxe-edition-not-cracked/,2016-07-20,85,,,RUS/ENG/MULTI15,19660,8806,0.45,
FIFA 17,http://fitgirl-repacks.site/fifa-17/,2017-07-14,1,Sports  Soccer  Third-person  3D,EA Canada / Electronic Arts,RUS/ENG/MULTI18,40243,18227,0.45,
FIFA 18 + Update 2,http://fitgirl-repacks.site/fifa-18/,2017-10-08,1,Sports  Soccer  Third-person  3D,EA Canada / Electronic Arts,RUS/ENG/MULTI17,44236,21299,0.48,
Filthy Lucre + CrackFix + Multiplayer,http://fitgirl-repacks.site/filthy-lucre-crackfix-multiplayer/,2016-12-15,43,Action  Stealth  Top-down  3D,,RUS/ENG/MULTI14,3891,2150,0.55,
Final Fantasy IV: The After Years,http://fitgirl-repacks.site/final-fantasy-iv-the-after-years/,2016-07-15,,,,RUS/ENG/MULTI7Original Size: 782 MBRepack Size: 413 MB,782,413,0.53,
Final Fantasy IX,http://fitgirl-repacks.site/final-fantasy-ix/,2016-07-25,7,,,ENG/MULTI5Original Size: 4.2 GBRepack Size: 3.2 GB,4300,3276,0.76,
Final Fantasy Type-0 HD,http://fitgirl-repacks.site/final-fantasy-type-0-hd/,2016-07-19,11,,,ENG/MULTI9Original Size: 23 GBRepack Size: 13.3/14.7 GB,23552,13619,0.58,
Final Fantasy V,http://fitgirl-repacks.site/final-fantasy-v/,2016-07-20,,,,RUS/ENG/MULTI7Original Size: 964 MBRepack Size: 465 MB,964,465,0.48,
Final Fantasy X/X-2: HD Remaster,http://fitgirl-repacks.site/final-fantasy-xx-2-hd-remaster/,2017-05-30,68,RPG  Third-person  3D  Japanese,Square Enix Product Development Division 1  Virtuos,ENG/MULTI8,34611,24371,0.7,
Final Fantasy XIII-2,http://fitgirl-repacks.site/final-fantasy-xiii-2/,2016-07-07,21,,,ENG/JAP/MULTI8Original Size: 28 GBRepack Size: 13 38 GB,28672,13701,0.48,
Firewatch + Update 3,http://fitgirl-repacks.site/firewatch-update-3/,2016-07-23,3,,,RUS/ENGOriginal Size: 1.97 GBRepack Size: 1.15 GB,2017,1177,0.58,
FlatOut 4: Total Insanity + Free Multiplayer,http://fitgirl-repacks.site/flatout-4-total-insanity-free-multiplayer/,2017-04-08,141,Arcade  Racing  Physics-based  3D  Cars,Kylotonn Entertainment  Tiny Rebel Games  Bigben Interactive,RUS/ENG/MULTI8,7680,3379,0.44,
Flyhunter Origins,http://fitgirl-repacks.site/flyhunter-origins/,2016-07-07,,,,ENG/MULTI5Original Size: 1 9 GBRepack Size: 484 MB,1945,484,0.25,
Flying Tigers: Shadows Over China – Digital Deluxe Edition,http://fitgirl-repacks.site/flying-tigers-shadows-china-digital-deluxe-edition/,2017-05-30,27,Arcade  Simulation  World War II  3D  Combat aircraft,,RUS/ENG/MULTI13,2867,1433,0.5,
Football Manager 2015 v15.3.2,http://fitgirl-repacks.site/football-manager-2015-v15-3-2/,2016-07-16,3,,,RUS/ENG/MULTI15Original Size: 1 7 GBRepack Size: 887 MB,1740,887,0.51,
Football Manager 2016 v16.2.0,http://fitgirl-repacks.site/football-manager-2016-v16-2-0/,2016-07-22,42,,,RUS/ENG/MULTI16Original Size: 4.8 GBRepack Size: 1 GB,4915,1024,0.21,
Football Manager 2017 + Football Manager Touch 2017 + FM Editor – v17.3.1 + 17 DLCs,http://fitgirl-repacks.site/football-manager-2017/,2017-06-28,162,Managerial  Sports  Soccer  Strategy  Real-time  Turn-based,Sports Interactive / Sega,RUS/ENG/MULTI16,6553,2355,0.36,
Forced: Showdown,http://fitgirl-repacks.site/forced-showdown/,2016-07-24,3,,,,2662,866,0.33,
Formata,http://fitgirl-repacks.site/formata/,2017-12-08,2,Strategy  RTS  3D,,RUS/ENG/MULTI5,5836,3379,0.58,
Formula Fusion,http://fitgirl-repacks.site/formula-fusion/,2017-06-02,36,Arcade  Racing  Third-person  3D,,ENG,7987,4300,0.54,
Fortified!,http://fitgirl-repacks.site/fortified/,2016-07-23,2,,,,1638,1228,0.75,
Fragmented,http://fitgirl-repacks.site/fragmented/,2017-08-16,60,Action  Shooter  Survival  3D,,RUS/ENG/MULTI6,4096,2252,0.55,
Frozen Cortex,http://fitgirl-repacks.site/frozen-cortex/,2016-07-10,,,,,1740,990,0.57,
Frozen Synapse Prime,http://fitgirl-repacks.site/frozen-synapse-prime/,2016-07-06,,,,ENG/MULTI6Original Size: 750 MBRepack Size: 296 MB,750,296,0.39,
Full Throttle Remastered,http://fitgirl-repacks.site/full-throttle-remastered/,2017-04-19,32,Adventure  Point-and-click  Side  2D,LucasArts  Double Fine  Disney Interactive,ENG/MULTI6,4403,2457,0.56,
Furi,http://fitgirl-repacks.site/furi/,2016-07-29,4,,,RUS/ENG/MULTI6Original Size: 2 GBRepack Size: 1.2~1.4 GB,2048,1228,0.6,
Galactic Civilizations 3 v1.81 + 10 DLC,http://fitgirl-repacks.site/galactic-civilizations-3-v1-81-10-dlc/,2016-08-20,86,Strategy  4X  3D  Turn-based,Stardock,RUS/ENG/MULTI4,8704,5939,0.68,
Game of Thrones: A Telltale Games Series – Episodes 1-6,http://fitgirl-repacks.site/game-of-thrones-a-telltale-games-series-episodes-1-6/,2016-07-21,12,,,,12902,5017,0.39,
Gas Guzzlers Extreme: Full Metal Zombie,http://fitgirl-repacks.site/gas-guzzlers-extreme-full-metal-zombie/,2016-07-10,,,,RUS/ENG/MULTI9Original Size: 15 GBRepack Size: 5.2 GB,15360,5324,0.35,
Gas Guzzlers Extreme: Gold Pack v1.8.0.0 + 2 DLCs,http://fitgirl-repacks.site/gas-guzzlers-extreme-gold-pack-v1-8-0-0-2-dlcs/,2016-07-29,6,,,RUS/ENG/MULTI11Original Size: 6.1 GBRepack Size: 5.1 GB,6246,5222,0.84,
Gemini: Heroes Reborn,http://fitgirl-repacks.site/gemini-heroes-reborn/,2016-07-22,,,,RUS/ENG/MULTI10Original Size: 7.84 GBRepack Size: 5.46 GB,8028,5591,0.7,
Geometry Wars 3: Dimensions (My first repack! :),http://fitgirl-repacks.site/geometry-wars-3-dimensions-my-first-repack/,2016-07-06,11,,,,250,69,0.28,
Get Even,http://fitgirl-repacks.site/get-even/,2017-06-22,141,Action  Shooter  First-person  3D,The Farm 51 / Bandai Namco Entertainment,RUS/ENG/MULTI8,28262,13721,0.49,
Ghostbusters + DLC,http://fitgirl-repacks.site/ghostbusters-dlc/,2016-07-29,1,,,ENG/MULTI5Original Size: 3.7 GBRepack Size: 2.2 GB,3788,2252,0.59,
Goat Simulator: GOATY Edition – v.1.5.58533 + All DLCs,http://fitgirl-repacks.site/goat-simulator-goaty-edition-v-1-5-58533-all-dlcs/,2017-07-02,29,Exploration  Physics-based  Sandbox  Third-person  3D,,RUS/ENG/MULTI14,3481,1331,0.38,
GOD EATER 2: Rage Burst,http://fitgirl-repacks.site/god-eater-2-rage-burst/,2017-01-24,188,Action RPG  Third-person  3D  Japanese,Shift / Bandai Namco Games,RUS/ENG/MULTI6,14438,3993,0.28,
God Eater: Resurrection,http://fitgirl-repacks.site/god-eater-resurrection/,2016-11-10,279,RPG  Action RPG  Third-person  3D  Japanese,Shift / Bandai Namco,RUS/ENG/MULTI6,14540,4812,0.33,
Gold Rush: The Game  v1.0.5141,http://fitgirl-repacks.site/gold-rush-the-game/,2017-10-15,1,Simulation  First-person  Third-person  3D,Code Horizon / PlayWay,RUS/ENG/MULTI8,9318,7168,0.77,
Grand Theft Auto IV: The Complete Edition – v1.0.8.0/v1.1.3.0,http://fitgirl-repacks.site/grand-theft-auto-iv-complete-edition-v1-0-8-0v1-1-3-0/,2017-03-27,469,Action (Shooter)  3rd Person  Open World  3D,Rockstar North / Rockstar Games,RUS/ENG/MULTI6,19763,13619,0.69,
Grand Theft Auto V / GTA 5 – v1.0.1180.1/v1.41 (Lolly Repack),http://fitgirl-repacks.site/grand-theft-auto-v/,2017-09-08,2,Action  Shooter  Driving  Open world  First-person  Third-person  3D,Rockstar North / Rockstar Games,RUS/ENG/MULTI11,71782,37068,0.52,
Grandia 2: Anniversary Edition,http://fitgirl-repacks.site/grandia-2-anniversary-edition/,2016-07-19,2,,,,1638,1024,0.63,
Gravity Ghost,http://fitgirl-repacks.site/gravity-ghost/,2016-07-09,,,,,562,392,0.7,
Grey Goo: Definitive Edition,http://fitgirl-repacks.site/grey-goo-definitive-edition/,2016-07-23,2,,,RUS/ENG/MULTI8Original Size: 12.6 GBRepack Size: from 8.6 GB [Selective Download],12902,8806,0.68,
GRID Autosport – Complete – v1.0.103.1840 + All DLCs,http://fitgirl-repacks.site/grid-autosport-complete-v1-0-103-1840-dlcs/,2016-09-05,69,Racing  GT  First-person  Third-person  3D  Cars,,RUS/ENG/MULTI9,13926,5734,0.41,
Grim Dawn – v1.0.2.1 + 3 DLCs,http://fitgirl-repacks.site/grim-dawn/,2017-10-15,,RPG  Action RPG  Isometric  3D,,RUS/ENG/MULTI9,6963,3379,0.49,
Grim Fandango Remastered,http://fitgirl-repacks.site/grim-fandango-remastered/,2016-07-08,3,,,RUS/ENG/MULTI7Original Size: 5 4 GBRepack Size: 3 5 GB,5529,3584,0.65,
Grow Home,http://fitgirl-repacks.site/grow-home/,2016-07-08,2,,,,615,426,0.69,
Grow Up,http://fitgirl-repacks.site/grow-up/,2016-08-16,20,Arcade  Jump and run  Third-person  3D,,RUS/ENG/MULTI6,552,329,0.6,
Guild Commander,http://fitgirl-repacks.site/guild-commander/,2016-07-08,2,,,,817,581,0.71,
Guilty Gear 2: Overture,http://fitgirl-repacks.site/guilty-gear-2-overture/,2016-07-25,1,,,ENG/MULTI6Original Size: 1.5 GBRepack Size: 975 MB,1536,975,0.63,
Guilty Gear Xrd -REVELATOR- Digital Deluxe Edition – v1.01 + 7 DLC,http://fitgirl-repacks.site/guilty-gear-xrd-revelator-digital-deluxe-edition-v1-01-7-dlc/,2017-02-27,102,Arcade  Fighting  Side  3D,,ENG/MULTI5,10342,4505,0.44,
GUILTY GEAR Xrd -SIGN-,http://fitgirl-repacks.site/guilty-gear-xrd-sign/,2016-07-22,3,,,ENG/MULTI5Original Size: 10 GBRepack Size: 3~6.1 GB [Selective Download],10240,3072,0.3,
Guilty Gear Xrd REV 2 + All DLC,http://fitgirl-repacks.site/guilty-gear-xrd-rev-2-dlc/,2017-06-04,164,Arcade  Fighting  Side  3D,,ENG/MULTI5,11776,3686,0.31,
Guns  Gore & Cannoli,http://fitgirl-repacks.site/guns-gore-cannoli/,2016-07-15,1,,,RUS/ENG/MULTI9Original Size: 2 GBRepack Size: 0 8~1 3 GB [Selective Download],2048,819,0.4,
Halo: Spartan Strike,http://fitgirl-repacks.site/halo-spartan-strike/,2016-07-15,4,,,ENG/MULTI6Original Size: 1 1 GBRepack Size: 663 MB,1126,663,0.59,
Hand of Fate,http://fitgirl-repacks.site/hand-of-fate/,2016-07-10,12,,,RUS/ENG/MULTI6Original Size: 3 8 GBRepack Size: 1 4 GB,3891,1433,0.37,
Hand of Fate 2 – v.1.0.3,http://fitgirl-repacks.site/hand-of-fate-2/,2017-11-11,1,RPG  Action RPG  Third-person  3D,,RUS/ENG/MULTI11,3072,1587,0.52,
Hard Reset: Redux,http://fitgirl-repacks.site/hard-reset-redux/,2016-07-27,3,,,RUS/ENG/MULTI5Original Size: 5.3 GBRepack Size: from 2.6 GB [Selective Download],5427,2662,0.49,
Hard West,http://fitgirl-repacks.site/hard-west/,2016-07-21,1,,,RUS/ENG/MULTI5Original Size: 6.7 GBRepack Size: 2.08/2.17 GB,6860,2129,0.31,
Hard West: Scars of Freedom,http://fitgirl-repacks.site/hard-west-scars-of-freedom/,2016-07-24,1,,,RUS/ENG/MULTI5Original Size: 7 GBRepack Size: 2.2 GB,7168,2252,0.31,
Harold,http://fitgirl-repacks.site/harold/,2016-07-09,,,,ENG/MULTI7Original Size: 4 GBRepack Size: 1 1 GB,4096,1126,0.27,
